Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
4.262526830037435e-05	900000	715	-13.14	-13.14	0.18999999999999995
4.403591156005859e-05	910000	720	-13.04	-13.0	0.18099999999999994
5.7359536488850914e-05	920000	723	-12.9	-12.9	0.17199999999999993
6.357431411743164e-05	930000	727	-12.58	-12.58	0.16299999999999992
5.013545354207357e-05	940000	730	-12.4	-12.4	0.15400000000000003
5.3095817565917966e-05	950000	734	-12.1	-12.1	0.14500000000000002
5.556344985961914e-05	960000	737	-12.02	-12.02	0.136
5.603233973185222e-05	970000	740	-11.71	-11.71	0.127
5.5126349131266276e-05	980000	744	-11.51	-11.51	0.118
8.19842020670573e-05	990000	747	-11.25	-11.25	0.10899999999999999
5.116065343221029e-05	1000000	751	-10.92	-10.92	0.1
5.504290262858073e-05	1010000	754	-10.75	-10.75	0.09996250000000001
5.110502243041992e-05	1020000	758	-10.56	-10.56	0.099925
3.777345021565755e-05	1030000	761	-10.38	-10.38	0.0998875
4.0475527445475264e-05	1040000	764	-10.1	-10.1	0.09985000000000001
3.927946090698242e-05	1050000	767	-9.95	-9.95	0.09981250000000001
7.178783416748047e-05	1060000	771	-9.72	-9.72	0.099775
4.7608216603597006e-05	1070000	774	-9.63	-9.62	0.0997375
6.409486134847005e-05	1080000	777	-9.3	-9.3	0.09970000000000001
4.769563674926758e-05	1090000	780	-9.2	-9.2	0.0996625
5.940993626912435e-05	1100000	783	-8.98	-8.98	0.099625
5.031824111938477e-05	1110000	786	-8.68	-8.68	0.09958750000000001
5.351702372233073e-05	1120000	789	-8.49	-8.49	0.09955
7.430712381998698e-05	1130000	791	-8.23	-8.23	0.0995125
6.0617923736572266e-05	1140000	794	-7.9	-7.9	0.09947500000000001
5.1069259643554685e-05	1150000	798	-7.64	-7.64	0.09943750000000001
7.590055465698243e-05	1160000	801	-7.39	-7.39	0.0994
4.7949949900309247e-05	1170000	804	-7.33	-7.33	0.0993625
3.855625788370768e-05	1180000	807	-7.14	-7.14	0.09932500000000001
4.042784372965495e-05	1190000	810	-6.92	-6.92	0.0992875
5.097786585489909e-05	1200000	813	-6.78	-6.78	0.09925
3.663301467895508e-05	1210000	816	-6.63	-6.63	0.09921250000000001
6.111860275268555e-05	1220000	819	-6.24	-6.24	0.099175
4.225969314575195e-05	1230000	822	-5.87	-5.87	0.0991375
4.038016001383464e-05	1240000	825	-5.73	-5.73	0.09910000000000001
4.711151123046875e-05	1250000	828	-5.55	-5.55	0.09906250000000001
4.442930221557617e-05	1260000	831	-5.44	-5.44	0.099025
5.8492024739583336e-05	1270000	834	-5.06	-5.06	0.0989875
5.6687990824381514e-05	1280000	837	-4.76	-4.76	0.09895000000000001
3.770589828491211e-05	1290000	840	-4.52	-4.52	0.0989125
5.390246709187826e-05	1300000	843	-4.22	-4.22	0.098875
4.666248957316081e-05	1310000	846	-3.95	-3.95	0.09883750000000001
2.3297468821207683e-05	1320000	849	-3.98	-3.91	0.0988
8.174578348795573e-05	1330000	852	-3.69	-3.69	0.0987625
4.7544638315836586e-05	1340000	855	-3.5	-3.5	0.09872500000000001
4.474322001139323e-05	1350000	858	-3.05	-3.05	0.09868750000000001
6.244579950968425e-05	1360000	861	-2.53	-2.53	0.09865
3.932714462280273e-05	1370000	864	-2.4	-2.4	0.0986125
5.1128864288330075e-05	1380000	867	-2.0	-2.0	0.09857500000000001
5.302031834920247e-05	1390000	870	-1.6	-1.6	0.0985375
2.852280934651693e-05	1400000	874	-1.02	-1.02	0.0985
4.980166753133138e-05	1410000	877	-0.7	-0.7	0.09846250000000001
4.678567250569661e-05	1420000	880	-0.51	-0.51	0.098425
4.775524139404297e-05	1430000	883	-0.28	-0.28	0.0983875
4.807710647583008e-05	1440000	886	-0.16	-0.14	0.09835
4.9797693888346356e-05	1450000	889	0.05	0.05	0.09831250000000001
4.293123881022135e-05	1460000	892	0.27	0.27	0.098275
5.063613255818685e-05	1470000	896	0.88	0.88	0.0982375
4.8442681630452475e-05	1480000	899	1.18	1.18	0.09820000000000001
7.030566533406575e-05	1490000	902	1.63	1.63	0.0981625
3.579060236612956e-05	1500000	906	2.18	2.18	0.098125
5.749861399332682e-05	1510000	909	2.44	2.44	0.09808750000000001
2.8002262115478516e-05	1520000	912	2.71	2.71	0.09805
4.707972208658854e-05	1530000	915	3.09	3.09	0.0980125
4.134972890218099e-05	1540000	918	3.44	3.44	0.097975
4.354715347290039e-05	1550000	922	3.85	3.85	0.09793750000000001
4.5188268025716145e-05	1560000	924	4.04	4.04	0.0979
4.385709762573242e-05	1570000	927	4.11	4.11	0.0978625
6.522734959920247e-05	1580000	930	4.38	4.38	0.09782500000000001
4.084507624308268e-05	1590000	933	4.48	4.48	0.0977875
4.651546478271484e-05	1600000	937	4.83	4.83	0.09775
5.093812942504883e-05	1610000	941	5.12	5.12	0.09771250000000001
4.90268071492513e-05	1620000	943	5.23	5.25	0.09767500000000001
4.357099533081055e-05	1630000	947	5.55	5.55	0.0976375
5.5682659149169925e-05	1640000	950	5.83	5.83	0.0976
3.8500626881917315e-05	1650000	954	6.41	6.41	0.09756250000000001
4.4067700703938804e-05	1660000	957	6.64	6.64	0.097525
5.2253405253092446e-05	1670000	961	6.95	6.95	0.0974875
4.1818618774414064e-05	1680000	964	7.23	7.23	0.09745000000000001
4.5522054036458334e-05	1690000	968	7.46	7.46	0.0974125
4.9515565236409506e-05	1700000	972	7.81	7.81	0.097375
5.105733871459961e-05	1710000	975	8.09	8.09	0.09733750000000001
6.847381591796875e-05	1720000	978	8.22	8.22	0.09730000000000001
4.9948692321777344e-05	1730000	982	8.43	8.43	0.0972625
4.716316858927409e-05	1740000	985	8.79	8.79	0.097225
4.466374715169271e-05	1750000	989	9.37	9.37	0.09718750000000001
5.194743474324544e-05	1760000	993	9.69	9.69	0.09715
4.432996114095052e-05	1770000	997	9.94	9.94	0.0971125
4.488627115885417e-05	1780000	1001	10.28	10.28	0.09707500000000001
3.9517879486083984e-05	1790000	1005	10.45	10.45	0.0970375
5.011161168416341e-05	1800000	1009	10.67	10.68	0.097
4.7942002614339195e-05	1810000	1013	11.16	11.16	0.09696250000000001
2.841949462890625e-05	1820000	1018	11.52	11.52	0.09692500000000001
4.357099533081055e-05	1830000	1022	11.77	11.77	0.0968875
3.720521926879883e-05	1840000	1026	12.37	12.37	0.09685
0.00027211904525756834	1850000	1031	12.82	12.82	0.09681250000000001
7.119576136271159e-05	1860000	1035	13.26	13.26	0.096775
4.431406656901042e-05	1870000	1040	13.53	13.53	0.0967375
5.079507827758789e-05	1880000	1044	13.88	13.88	0.09670000000000001
5.071957906087239e-05	1890000	1048	14.14	14.14	0.0966625
4.3487548828125e-05	1900000	1052	14.27	14.28	0.096625
4.2947133382161457e-05	1910000	1056	14.49	14.49	0.0965875
5.088647206624349e-05	1920000	1060	14.45	14.5	0.09655000000000001
4.99884287516276e-05	1930000	1064	14.75	14.75	0.0965125
4.061063130696615e-05	1940000	1068	14.84	14.84	0.096475
4.175106684366862e-05	1950000	1072	14.86	14.87	0.09643750000000001
5.260705947875977e-05	1960000	1076	14.96	14.96	0.0964
4.3233235677083336e-05	1970000	1080	15.22	15.22	0.0963625
4.711151123046875e-05	1980000	1083	15.14	15.22	0.09632500000000001
5.060434341430664e-05	1990000	1087	15.17	15.22	0.0962875
5.0914287567138675e-05	2000000	1091	15.09	15.22	0.09625
4.571676254272461e-05	2010000	1096	15.13	15.22	0.0962125
4.5740604400634764e-05	2020000	1099	15.07	15.22	0.09617500000000001
2.759695053100586e-05	2030000	1103	14.94	15.22	0.0961375
4.55935796101888e-05	2040000	1107	14.95	15.22	0.0961
4.356702168782552e-05	2050000	1110	14.84	15.22	0.09606250000000001
2.54670778910319e-05	2060000	1114	14.93	15.22	0.096025
4.750887552897136e-05	2070000	1119	14.92	15.22	0.0959875
2.3003419240315755e-05	2080000	1123	14.92	15.22	0.09595000000000001
4.017353057861328e-05	2090000	1128	14.91	15.22	0.09591250000000001
5.182425181070964e-05	2100000	1131	14.78	15.22	0.095875
6.030400594075521e-05	2110000	1136	14.73	15.22	0.0958375
4.9555301666259764e-05	2120000	1140	14.75	15.22	0.09580000000000001
4.4516722361246745e-05	2130000	1145	14.82	15.22	0.0957625
5.391041437784831e-05	2140000	1149	14.78	15.22	0.095725
4.480679829915365e-05	2150000	1154	14.87	15.22	0.09568750000000001
4.6364466349283855e-05	2160000	1158	14.9	15.22	0.09565
5.43673833211263e-05	2170000	1163	15.0	15.22	0.0956125
6.563663482666016e-05	2180000	1168	15.16	15.22	0.09557500000000001
5.5789947509765625e-05	2190000	1172	15.15	15.22	0.09553750000000001
6.715456644694011e-05	2200000	1175	15.05	15.22	0.0955
4.5243899027506514e-05	2210000	1179	14.97	15.22	0.0954625
5.0568580627441405e-05	2220000	1182	14.92	15.22	0.09542500000000001
4.790623982747396e-05	2230000	1187	15.05	15.22	0.0953875
4.219214121500651e-05	2240000	1190	14.98	15.22	0.09535
5.036195119222005e-05	2250000	1194	14.92	15.22	0.09531250000000001
2.2753079732259115e-05	2260000	1198	14.95	15.22	0.095275
4.6586990356445314e-05	2270000	1201	15.05	15.22	0.0952375
3.899733225504557e-05	2280000	1205	15.06	15.22	0.0952
5.3095817565917966e-05	2290000	1209	15.2	15.22	0.09516250000000001
2.5399525960286458e-05	2300000	1213	15.17	15.22	0.095125
6.584723790486654e-05	2310000	1218	15.21	15.22	0.0950875
4.211266835530599e-05	2320000	1222	15.22	15.22	0.09505000000000001
4.919767379760742e-05	2330000	1226	15.16	15.22	0.0950125
5.0004323323567705e-05	2340000	1229	15.24	15.25	0.094975
4.279216130574544e-05	2350000	1233	15.03	15.25	0.09493750000000001
4.909038543701172e-05	2360000	1236	14.9	15.25	0.09490000000000001
4.363059997558594e-05	2370000	1240	14.65	15.25	0.0948625
4.10000483194987e-05	2380000	1244	14.49	15.25	0.094825
3.6935011545817055e-05	2390000	1248	14.4	15.25	0.09478750000000001
7.145404815673828e-05	2400000	1252	14.44	15.25	0.09475
4.462003707885742e-05	2410000	1256	14.33	15.25	0.0947125
4.564523696899414e-05	2420000	1260	14.39	15.25	0.09467500000000001
4.686117172241211e-05	2430000	1264	14.3	15.25	0.0946375
4.314978917439778e-05	2440000	1268	14.2	15.25	0.0946
4.567305246988932e-05	2450000	1273	14.33	15.25	0.09456250000000001
4.5013427734375e-05	2460000	1276	14.36	15.25	0.094525
3.9700667063395185e-05	2470000	1281	14.71	15.25	0.0944875
7.222096125284831e-05	2480000	1286	14.85	15.25	0.09445
4.124244054158528e-05	2490000	1290	15.02	15.25	0.09441250000000001
4.106362660725911e-05	2500000	1295	15.22	15.25	0.094375
4.5851866404215494e-05	2510000	1300	15.33	15.33	0.0943375
4.971424738566081e-05	2520000	1304	15.44	15.44	0.09430000000000001
5.519787470499675e-05	2530000	1309	15.65	15.65	0.0942625
4.958311716715495e-05	2540000	1314	15.81	15.81	0.094225
4.851420720418294e-05	2550000	1318	15.76	15.81	0.09418750000000001
6.649891535441081e-05	2560000	1323	15.82	15.84	0.09415000000000001
5.0012270609537764e-05	2570000	1327	15.84	15.86	0.0941125
4.397233327229818e-05	2580000	1331	16.09	16.09	0.094075
6.250937779744466e-05	2590000	1336	16.33	16.33	0.09403750000000001
4.590352376302083e-05	2600000	1340	16.6	16.62	0.094
4.871686299641927e-05	2610000	1345	16.75	16.83	0.0939625
4.780689875284831e-05	2620000	1349	16.72	16.83	0.09392500000000001
