Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
2.9877821604410806e-05	900000	702	-14.76	-14.76	0.18999999999999995
5.453824996948242e-05	910000	706	-14.41	-14.39	0.18099999999999994
4.4238567352294925e-05	920000	709	-14.3	-14.3	0.17199999999999993
5.874236424763997e-05	930000	712	-14.04	-14.04	0.16299999999999992
0.00011291901270548503	940000	716	-13.91	-13.91	0.15400000000000003
5.5499871571858724e-05	950000	720	-13.69	-13.69	0.14500000000000002
6.93360964457194e-05	960000	723	-13.44	-13.44	0.136
6.737311681111653e-05	970000	726	-13.33	-13.29	0.127
0.00010504722595214844	980000	729	-13.08	-13.08	0.118
5.261898040771484e-05	990000	732	-12.85	-12.85	0.10899999999999999
5.18957773844401e-05	1000000	736	-12.71	-12.71	0.1
5.0079822540283206e-05	1010000	740	-12.59	-12.59	0.09996250000000001
4.4286251068115234e-05	1020000	743	-12.43	-12.42	0.099925
4.7147274017333984e-05	1030000	746	-12.17	-12.17	0.0998875
4.9904982248942056e-05	1040000	749	-11.89	-11.89	0.09985000000000001
5.3652127583821614e-05	1050000	752	-11.62	-11.62	0.09981250000000001
6.154378255208333e-05	1060000	755	-11.26	-11.26	0.099775
5.36799430847168e-05	1070000	759	-11.12	-11.11	0.0997375
4.6988328297932945e-05	1080000	762	-11.07	-11.04	0.09970000000000001
0.00010329484939575195	1090000	765	-10.81	-10.81	0.0996625
5.30083974202474e-05	1100000	769	-10.5	-10.5	0.099625
6.371736526489258e-05	1110000	772	-10.22	-10.22	0.09958750000000001
5.625486373901367e-05	1120000	776	-9.96	-9.96	0.09955
5.523363749186198e-05	1130000	779	-9.81	-9.81	0.0995125
5.036592483520508e-05	1140000	782	-9.76	-9.76	0.09947500000000001
5.851189295450846e-05	1150000	786	-9.57	-9.56	0.09943750000000001
7.574160893758138e-05	1160000	789	-9.53	-9.53	0.0994
4.4735272725423175e-05	1170000	792	-9.28	-9.28	0.0993625
5.1875909169514976e-05	1180000	795	-8.84	-8.84	0.09932500000000001
4.601875940958659e-05	1190000	798	-8.61	-8.61	0.0992875
5.4168701171875e-05	1200000	801	-8.54	-8.54	0.09925
4.2951107025146486e-05	1210000	804	-8.56	-8.52	0.09921250000000001
5.654493967692057e-05	1220000	807	-8.17	-8.17	0.099175
6.322065989176433e-05	1230000	810	-7.98	-7.98	0.0991375
5.144675572713216e-05	1240000	813	-7.62	-7.62	0.09910000000000001
0.00017927090326944986	1250000	816	-7.22	-7.22	0.09906250000000001
7.317066192626953e-05	1260000	818	-7.18	-7.18	0.099025
4.808505376180013e-05	1270000	821	-6.79	-6.79	0.0989875
4.7878424326578775e-05	1280000	824	-6.5	-6.5	0.09895000000000001
2.960364023844401e-05	1290000	827	-6.1	-6.1	0.0989125
2.4608771006266276e-05	1300000	830	-5.91	-5.91	0.098875
4.69207763671875e-05	1310000	833	-5.61	-5.61	0.09883750000000001
4.5633316040039064e-05	1320000	836	-5.24	-5.24	0.0988
4.959901173909505e-05	1330000	838	-5.0	-5.0	0.0987625
