Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
31.95143723487854	0	15.738994	6.4328504	51.0	8.0	15.738993710691824	6.432850165481299	5005	5005
58.17685866355896	1	23.27907	11.560006	75.0	8.0	23.27906976744186	11.560006400165905	5005	10010
83.98091053962708	2	35.132866	20.253372	117.0	11.0	35.13286713286713	20.253373287968277	5024	15034
110.41333436965942	3	47.196262	21.436033	131.0	12.0	47.19626168224299	21.436033621611287	5050	20084
138.43487763404846	4	57.522728	30.899755	149.0	13.0	57.52272727272727	30.899756277623432	5062	25146
166.1731243133545	5	70.830986	33.482807	200.0	29.0	70.83098591549296	33.48280446442052	5029	30175
193.5828025341034	6	73.72059	32.59233	200.0	17.0	73.72058823529412	32.59233290760055	5013	35188
221.8619794845581	7	81.51613	36.134933	162.0	18.0	81.51612903225806	36.134936153562805	5054	40242
250.75694584846497	8	108.3617	38.034935	200.0	32.0	108.36170212765957	38.0349366453186	5093	45335
279.95641899108887	9	140.91667	38.837532	200.0	41.0	140.91666666666666	38.83753553801614	5073	50408
306.5230965614319	10	151.60606	46.551334	200.0	56.0	151.6060606060606	46.55133327774534	5003	55411
330.80589604377747	11	169.2	37.933628	200.0	80.0	169.2	37.93362624374316	5076	60487
355.78408885002136	12	157.625	38.964527	200.0	87.0	157.625	38.96452713687156	5044	65531
382.68471360206604	13	173.41379	34.827175	200.0	74.0	173.41379310344828	34.827176508344756	5029	70560
410.4117224216461	14	176.58621	31.425354	200.0	101.0	176.58620689655172	31.425354623274707	5121	75681
437.5863823890686	15	168.03334	41.99165	200.0	44.0	168.03333333333333	41.99165260964242	5041	80722
464.61776065826416	16	180.57143	35.699566	200.0	65.0	180.57142857142858	35.6995683961791	5056	85778
492.5023741722107	17	191.51852	20.425783	200.0	110.0	191.5185185185185	20.42578321698913	5171	90949
521.1443936824799	18	193.5	15.179059	200.0	134.0	193.5	15.179059462096001	5031	95980
550.3462297916412	19	195.23077	15.485248	200.0	125.0	195.23076923076923	15.485247799382613	5076	101056
578.9524772167206	20	200.0	0.0	200.0	200.0	200.0	0.0	5200	106256
604.8101763725281	21	196.53847	17.307693	200.0	110.0	196.53846153846155	17.307692307692307	5110	111366
626.5069887638092	22	200.0	0.0	200.0	200.0	200.0	0.0	5200	116566
644.5226428508759	23	200.0	0.0	200.0	200.0	200.0	0.0	5200	121766
660.3487882614136	24	199.65384	1.7307692	200.0	191.0	199.65384615384616	1.7307692307692306	5191	126957
676.0544152259827	25	198.46153	7.692307	200.0	160.0	198.46153846153845	7.692307692307693	5160	132117
690.9459388256073	26	199.42308	2.8846154	200.0	185.0	199.42307692307693	2.8846153846153846	5185	137302
705.7201473712921	27	198.0	6.563301	200.0	168.0	198.0	6.563301233138936	5148	142450
720.4964170455933	28	197.76923	11.153846	200.0	142.0	197.76923076923077	11.153846153846155	5142	147592
736.432995557785	29	191.59259	22.050882	200.0	115.0	191.59259259259258	22.05088267194302	5173	152765
