Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.4510498046875	0	19.82353	11.187714	59.0	9.0	19.823529411764707	11.187713643227575	1011	1011
5.447404384613037	1	26.421053	11.667841	53.0	11.0	26.42105263157895	11.667840595205467	1004	2015
7.251583099365234	2	34.517242	21.070688	116.0	12.0	34.51724137931034	21.07068676303347	1001	3016
9.222249269485474	3	41.5	27.477613	143.0	13.0	41.5	27.47761326551545	1079	4095
11.25558853149414	4	40.8	18.825514	92.0	22.0	40.8	18.825514601200148	1020	5115
13.2377188205719	5	56.27778	17.593576	94.0	27.0	56.27777777777778	17.593576970510686	1013	6128
15.286643743515015	6	41.28	15.9963	90.0	17.0	41.28	15.996299572088539	1032	7160
17.279752492904663	7	45.391304	16.830975	80.0	20.0	45.391304347826086	16.830973338344638	1044	8204
19.295599699020386	8	38.692307	12.898328	68.0	13.0	38.69230769230769	12.898327949983496	1006	9210
21.266737937927246	9	47.714287	23.403587	125.0	19.0	47.714285714285715	23.403587142924536	1002	10212
23.32663893699646	10	41.24	14.79535	70.0	16.0	41.24	14.795350621056603	1031	11243
25.35015845298767	11	42.166668	22.602852	118.0	20.0	42.166666666666664	22.602851344219584	1012	12255
27.29318141937256	12	37.407406	12.263343	64.0	21.0	37.407407407407405	12.263342723741562	1010	13265
29.330708026885986	13	37.62963	12.751611	71.0	18.0	37.629629629629626	12.751610350441721	1016	14281
31.360809326171875	14	35.37931	12.290771	74.0	18.0	35.37931034482759	12.290769716093088	1026	15307
33.34204864501953	15	30.90909	8.396838	50.0	18.0	30.90909090909091	8.396837919856592	1020	16327
35.363774061203	16	32.0625	8.085239	53.0	18.0	32.0625	8.085239251252865	1026	17353
37.34291481971741	17	28.6	6.28922	43.0	17.0	28.6	6.289219801715131	1001	18354
39.29352116584778	18	27.805555	7.2026978	45.0	12.0	27.805555555555557	7.202697968448446	1001	19355
41.29425406455994	19	26.307692	6.961999	51.0	17.0	26.307692307692307	6.961998851471432	1026	20381
43.35423159599304	20	25.625	6.5942683	40.0	13.0	25.625	6.5942683445549894	1025	21406
45.356679916381836	21	23.25	5.7411	40.0	15.0	23.25	5.7410998312803505	1023	22429
47.38089609146118	22	22.711111	4.7310896	31.0	12.0	22.711111111111112	4.731089713432119	1022	23451
49.40280294418335	23	21.76087	5.385911	39.0	12.0	21.76086956521739	5.385910696109343	1001	24452
51.42598009109497	24	21.125	5.1138086	34.0	13.0	21.125	5.113808919647533	1014	25466
53.47183299064636	25	20.916666	4.8254247	33.0	13.0	20.916666666666668	4.825424563934476	1004	26470
55.4915132522583	26	18.814816	4.7728944	32.0	11.0	18.814814814814813	4.772894432312823	1016	27486
57.42618727684021	27	20.14	4.565129	30.0	13.0	20.14	4.565128694790542	1007	28493
59.373427629470825	28	19.5	4.8337755	35.0	11.0	19.5	4.833775399766172	1014	29507
61.36016774177551	29	18.50909	3.566882	27.0	12.0	18.509090909090908	3.5668816392052	1018	30525
63.400996685028076	30	19.018867	4.776083	37.0	12.0	19.0188679245283	4.776082574259052	1008	31533
65.44282555580139	31	19.365385	3.9808621	28.0	10.0	19.365384615384617	3.980862131952006	1007	32540
67.43225288391113	32	18.218182	3.9344208	27.0	11.0	18.21818181818182	3.9344211037314762	1002	33542
69.42008543014526	33	17.59649	2.876765	25.0	12.0	17.596491228070175	2.87676505161679	1003	34545
71.47013711929321	34	17.824562	3.4949725	26.0	10.0	17.82456140350877	3.4949728659817816	1016	35561
73.50215530395508	35	18.236364	4.238197	36.0	12.0	18.236363636363638	4.238197028169735	1003	36564
75.40202236175537	36	17.48276	4.5608582	34.0	11.0	17.482758620689655	4.5608581289896	1014	37578
77.42160391807556	37	16.75	4.260771	28.0	10.0	16.75	4.260770665814656	1005	38583
79.38307237625122	38	17.016949	3.6008074	25.0	10.0	17.016949152542374	3.600807467935956	1004	39587
81.26999521255493	39	17.0	4.591813	31.0	10.0	17.0	4.591812905891514	1003	40590
83.09181237220764	40	16.32258	3.9340293	29.0	9.0	16.322580645161292	3.934029345169866	1012	41602
84.9311683177948	41	14.823529	3.6297026	28.0	9.0	14.823529411764707	3.629702533876442	1008	42610
86.6918535232544	42	14.328571	3.1924975	26.0	8.0	14.32857142857143	3.192497582822347	1003	43613
88.51751375198364	43	13.346666	3.5832696	22.0	8.0	13.346666666666666	3.583269766878043	1001	44614
90.32879948616028	44	12.481482	3.111552	26.0	8.0	12.481481481481481	3.1115519969789966	1011	45625
92.17065644264221	45	12.060241	2.7609556	25.0	8.0	12.060240963855422	2.760955821879473	1001	46626
93.97947359085083	46	12.353659	3.1443794	24.0	8.0	12.353658536585366	3.144379233084253	1013	47639
95.88381838798523	47	11.382023	2.6457753	19.0	8.0	11.382022471910112	2.6457751693380946	1013	48652
97.68410396575928	48	11.431818	2.319852	18.0	8.0	11.431818181818182	2.3198523392735706	1006	49658
99.43453669548035	49	12.1204815	2.9753916	23.0	8.0	12.120481927710843	2.975391400238488	1006	50664
101.2382926940918	50	11.976191	3.2329264	27.0	8.0	11.976190476190476	3.232926547102009	1006	51670
103.09707188606262	51	13.567568	3.9424272	31.0	9.0	13.567567567567568	3.9424271611673816	1004	52674
104.89606237411499	52	13.426666	2.9128375	23.0	9.0	13.426666666666666	2.91283748640775	1007	53681
106.68739080429077	53	15.734375	6.235589	51.0	8.0	15.734375	6.2355888542602775	1007	54688
108.5076961517334	54	16.14516	4.2306366	28.0	9.0	16.14516129032258	4.23063624511746	1001	55689
